name,ida_name,env_name_s,name_s,name_a,toggle_type,class_s,code_owner_s,computed_status_s,created_s,everyone_s,is_active_s,modified_s,module_s,note_s,num_courses_forced_off_s,num_courses_forced_on_s,num_orgs_forced_off_s,num_orgs_forced_on_s,toggle_type_s,creation_date_a,default_a,description_a,implementation_a,line_number_a,source_file_a,target_removal_date_a,tickets_a,url_a,use_cases_a,warning_a
student.experiments.bundles_on_dashboard,lms,prod,student.experiments.bundles_on_dashboard,,waffle_flags,,,both,2017-12-20 18:26:41,Yes,,2018-02-22 19:15:44,,,,,,,waffle_flags,,,,,,,,,,,
studio.async_register_exams,lms,edge,studio.async_register_exams,,waffle_flags,,,on,2021-04-30 14:25:46,Yes,,2021-04-30 14:26:06,,,,,,,waffle_flags,,,,,,,,,,,
studio.async_register_exams,lms,stage,studio.async_register_exams,,waffle_flags,,,both,,,,,,,0,2,,,waffle_flags,,,,,,,,,,,
studio.async_register_exams,lms,prod,studio.async_register_exams,,waffle_flags,,,both,,,,,,,0,3,,,waffle_flags,,,,,,,,,,,
studio.custom_relative_dates,lms,edge,studio.custom_relative_dates,studio.custom_relative_dates,waffle_flags,,,both,2021-07-29 17:05:56,Yes,,2021-07-29 17:06:04,,,,,,,waffle_flags,2021-07-12,False,Waffle flag to enable custom pacing input for Personalized Learner Schedule (PLS).,CourseWaffleFlag,"[44, 44, 44, 44, 44, 44, 44, 44, 44]",cms/djangoapps/contentstore/config/waffle.py,2021-12-31,https://openedx.atlassian.net/browse/AA-844,https://github.com/openedx/edx-platform/blob/master/cms/djangoapps/contentstore/config/waffle.py#L44-L44,['temporary'],Flag course_experience.relative_dates should also be active for relative dates functionalities to work.
studio.custom_relative_dates,lms,stage,studio.custom_relative_dates,studio.custom_relative_dates,waffle_flags,,,both,2021-07-29 17:02:56,Yes,,2021-07-29 17:36:18,,,0,1,,,waffle_flags,2021-07-12,False,Waffle flag to enable custom pacing input for Personalized Learner Schedule (PLS).,CourseWaffleFlag,"[44, 44, 44, 44, 44, 44, 44, 44, 44]",cms/djangoapps/contentstore/config/waffle.py,2021-12-31,https://openedx.atlassian.net/browse/AA-844,https://github.com/openedx/edx-platform/blob/master/cms/djangoapps/contentstore/config/waffle.py#L44-L44,['temporary'],Flag course_experience.relative_dates should also be active for relative dates functionalities to work.
studio.custom_relative_dates,lms,prod,studio.custom_relative_dates,studio.custom_relative_dates,waffle_flags,,,both,2021-07-29 17:04:32,Yes,,2022-03-25 14:26:21,,,,,,,waffle_flags,2021-07-12,False,Waffle flag to enable custom pacing input for Personalized Learner Schedule (PLS).,CourseWaffleFlag,"[44, 44, 44, 44, 44, 44, 44, 44, 44]",cms/djangoapps/contentstore/config/waffle.py,2021-12-31,https://openedx.atlassian.net/browse/AA-844,https://github.com/openedx/edx-platform/blob/master/cms/djangoapps/contentstore/config/waffle.py#L44-L44,['temporary'],Flag course_experience.relative_dates should also be active for relative dates functionalities to work.
studio.enable_checklists_page,lms,edge,studio.enable_checklists_page,,waffle_switches,,,on,2018-08-24 19:31:23,,true,2018-08-24 20:00:38,,,,,,,waffle_switches,,,,,,,,,,,
studio.enable_checklists_quality,lms,edge,studio.enable_checklists_quality,,waffle_flags,,,both,2018-08-24 19:31:48,Yes,,2018-08-24 20:00:31,,,1,0,,,waffle_flags,,,,,,,,,,,
studio.enable_checklists_quality,lms,stage,studio.enable_checklists_quality,,waffle_flags,,,on,2020-06-23 20:22:11,Yes,,2020-06-23 20:22:11,,,,,,,waffle_flags,,,,,,,,,,,
studio.enable_checklists_quality,lms,prod,studio.enable_checklists_quality,,waffle_flags,,,both,2020-06-23 20:47:39,Yes,,2020-06-23 20:47:39,,,10,0,,,waffle_flags,,,,,,,,,,,
studio.enable_policy_page,lms,edge,studio.enable_policy_page,,waffle_switches,WaffleSwitch,,off,,,,,cms.djangoapps.contentstore.config.waffle,,,,,,waffle_switches,,,,,,,,,,,
studio.enable_policy_page,lms,stage,studio.enable_policy_page,,waffle_switches,WaffleSwitch,,on,2018-02-22 16:07:38,,true,2018-02-22 16:07:50,cms.djangoapps.contentstore.config.waffle,,,,,,waffle_switches,,,,,,,,,,,
studio.enable_policy_page,lms,prod,studio.enable_policy_page,,waffle_switches,WaffleSwitch,,on,2018-02-22 16:09:03,,true,2018-02-22 16:09:11,cms.djangoapps.contentstore.config.waffle,,,,,,waffle_switches,,,,,,,,,,,
studio.enable_proctoring_provider_override,lms,prod,studio.enable_proctoring_provider_override,,waffle_flags,,,both,,,,,,,0,1,,,waffle_flags,,,,,,,,,,,
studio.enable_proctoring_provider_overrides,lms,stage,studio.enable_proctoring_provider_overrides,,waffle_flags,,,both,2019-01-02 21:07:46,Yes,,2020-04-01 19:21:03,,,0,7,,,waffle_flags,,,,,,,,,,,
studio.enable_proctoring_provider_overrides,lms,prod,studio.enable_proctoring_provider_overrides,,waffle_flags,,,both,,,,,,,0,154,,,waffle_flags,,,,,,,,,,,
studio.enable_video_upload_pagination,lms,stage,studio.enable_video_upload_pagination,,waffle_flags,,,both,,,,,,,0,1,,,waffle_flags,,,,,,,,,,,
studio.enable_video_upload_pagination,lms,prod,studio.enable_video_upload_pagination,,waffle_flags,,,both,,,,,,,0,22,,,waffle_flags,,,,,,,,,,,
studio.library_authoring_mfe,lms,stage,studio.library_authoring_mfe,,waffle_flags,,,off,2020-08-20 12:44:13,Yes,,2021-09-30 19:03:01,,,,,,,waffle_flags,,,,,,,,,,,
studio.show_review_rules,lms,stage,studio.show_review_rules,,waffle_flags,,,both,,,,,,,0,1,,,waffle_flags,,,,,,,,,,,
studio.show_review_rules,lms,prod,studio.show_review_rules,,waffle_flags,,,both,,,,,,,0,1,,,waffle_flags,,,,,,,,,,,
studio_home.enable_global_staff_optimization,lms,edge,studio_home.enable_global_staff_optimization,,waffle_switches,,,on,2018-06-08 20:08:38,,true,2018-06-08 20:08:48,,,,,,,waffle_switches,,,,,,,,,,,
studio_home.enable_global_staff_optimization,lms,stage,studio_home.enable_global_staff_optimization,,waffle_switches,,,off,2017-06-13 18:11:34,,false,2018-02-22 20:36:50,,,,,,,waffle_switches,,,,,,,,,,,
studio_home.enable_global_staff_optimization,lms,prod,studio_home.enable_global_staff_optimization,,waffle_switches,,,on,2017-06-15 13:34:15,,true,2017-06-15 13:34:21,,,,,,,waffle_switches,,,,,,,,,,,
teams.enable_teams_app,lms,edge,teams.enable_teams_app,teams.enable_teams_app,waffle_flags,,,on,2022-03-09 09:39:46,Yes,,2022-03-09 09:40:01,,,0,1,,,waffle_flags,2021-10-07,False,Waffle flag to enable teams app for a course,WaffleFlag,"[8, 8, 8, 8, 8, 8, 8, 8, 8]",lms/djangoapps/teams/waffle.py,2021-11-01,TNL-8816,https://github.com/openedx/edx-platform/blob/master/lms/djangoapps/teams/waffle.py#L8-L8,"['temporary', 'open_edx']","When the flag is ON, the teams app will be visible in the new course authoring mfe."
teams.enable_teams_app,lms,stage,teams.enable_teams_app,teams.enable_teams_app,waffle_flags,,,both,2021-10-22 14:01:24,Yes,,2021-10-22 14:02:58,,,,,,,waffle_flags,2021-10-07,False,Waffle flag to enable teams app for a course,WaffleFlag,"[8, 8, 8, 8, 8, 8, 8, 8, 8]",lms/djangoapps/teams/waffle.py,2021-11-01,TNL-8816,https://github.com/openedx/edx-platform/blob/master/lms/djangoapps/teams/waffle.py#L8-L8,"['temporary', 'open_edx']","When the flag is ON, the teams app will be visible in the new course authoring mfe."
